City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,Nchelenge,ZM,80.53,scattered clouds,-9.3451,28.734,KD Travellers Home
445,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
446,Lazaro Cardenas,MX,82.92,overcast clouds,17.9583,-102.2,quinta antigua
456,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
462,Santiago De Cuba,CU,86.52,overcast clouds,20.0247,-75.8219,Cubanacan San Felix
467,Caucaia,BR,91.08,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
474,Sokoni,TZ,84.06,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
476,Sao Filipe,CV,80.94,scattered clouds,14.8961,-24.4956,Hotel Xaguate
480,Natal,BR,88.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
481,Harper,LR,81.16,overcast clouds,4.375,-7.7169,Screensaver
483,Ipixuna,BR,87.75,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
484,Khudumelapye,BW,81.19,light rain,-23.8833,24.75,
485,Labuhan,ID,83.01,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
486,Palauig,PH,80.92,scattered clouds,15.435,119.9045,Alperi Botique Resort
488,Yaan,NG,83.44,light rain,7.3833,8.5667,
489,Orocue,CO,90.7,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
490,Bogo,PH,80.69,overcast clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
495,Mexico,PH,84.22,few clouds,15.0646,120.7198,stone place
496,Sabla,NG,91.24,few clouds,12.7525,4.7077,
500,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
504,Carutapera,BR,88.74,broken clouds,-1.195,-46.02,Lidera
506,Lagos,NG,88.12,overcast clouds,6.5833,3.75,
509,Manggar,ID,80.13,moderate rain,-2.8833,108.2667,Guest Hotel
531,Candolim,IN,80.6,broken clouds,15.5181,73.7626,Resort Terra Paraiso
534,Rayong,TH,81.03,broken clouds,12.8333,101.4333,Suan Palm Garden View Hotel
535,Puerto Cabezas,NI,85.96,broken clouds,14.0351,-83.3888,Cabaña Caribe
538,Buedu,SL,81.37,light rain,8.2803,-10.3719,
540,Botucatu,BR,87.55,overcast clouds,-22.8858,-48.445,Primar Plaza Hotel
542,Tepalcatepec,MX,81.3,overcast clouds,19.1833,-102.85,Maria De Jesus
546,Davila,PH,80.96,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
550,Kloulklubed,PW,84.25,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
552,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
562,Pochutla,MX,85.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
563,Orkney,ZA,84.96,broken clouds,-26.9802,26.6727,Hole in One Guest House Orkney
565,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
569,Alugan,PH,80.85,overcast clouds,12.2188,125.4808,JM Lodge
577,Amapa,BR,83.64,broken clouds,1.0,-52.0,
579,Mattru,SL,80.53,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
584,Nampula,MZ,89.55,clear sky,-15.1165,39.2666,BUTIK Hotel
592,Praya,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
593,Belmonte,BR,82.4,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
595,Phalaborwa,ZA,92.48,scattered clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
598,Muscat,OM,80.28,clear sky,23.6139,58.5922,Mutrah Hotel
601,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
603,Sao Domingos,BR,84.49,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
609,Kupang,ID,80.76,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
610,Coruripe,BR,86.13,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
611,San Policarpo,PH,81.46,overcast clouds,12.1791,125.5072,Agapita M. Nicart
613,Guararema,BR,84.34,broken clouds,-23.415,-46.035,Parque Hotel Guararema
621,Kuala Terengganu,MY,80.55,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
626,Grand-Lahou,CI,81.82,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
633,Juba,SS,82.27,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
638,Kui Buri,TH,80.6,overcast clouds,12.0828,99.8543,Rista House & Resort
648,Comodoro Rivadavia,AR,84.06,clear sky,-45.8667,-67.5,Austral Hotel
657,Goiatuba,BR,91.81,broken clouds,-18.0125,-49.3547,Hotel Barrocos
660,Camocim,BR,87.46,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
661,Lorengau,PG,81.72,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
665,Inirida,CO,87.44,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
677,Kilindoni,TZ,80.62,broken clouds,-7.9139,39.6668,Bustani B&B
